#vraisemblance.dat
#Position Vraisemblance
0 -115.79642121273268
1 -116.97067756668943
2 -98.77761075581695
3 -119.54265537593055
4 -161.88402549255886
5 -129.95594930391871
6 -117.67621582408576
7 -155.0390280920723
8 -169.51474735462446
9 -143.1816551098913
10 -155.30035035722588
11 -96.53548821970962
12 -119.48296348433047
13 72.84331609370625
14 -139.3113798400982
15 -130.46926028334937
16 -152.2261901485932
17 -163.4219239169856
18 -147.62988787972284
19 -145.6243201097198
20 -142.66217742956596
21 -149.23171864142782
22 -125.5076287449261
23 -117.69801127046259
24 -153.70149829149568
25 -132.12024145640535
26 -106.66879589153494
27 -161.00431196582298
28 -146.1234623620613
29 -136.5360924483109
30 -145.16138482417847
31 -139.1630792668579
32 -125.21380255510529
33 -126.92954121504718
34 -155.90445156153228
35 -134.07806654895865
36 -130.52341110228383
37 -148.00077981385243
38 -130.54172021125953
39 -130.00971075197666
40 -165.79996065621418
41 -120.5087176815023
42 -132.11248035190877
43 -146.66020756191128
44 -86.80389797987773
45 -124.35200486416556
46 -106.03151696046056
47 -108.14885096058664
48 -133.9601799726518
49 -143.8126334550432
50 -143.4977491054803
51 -111.40337550230234
52 -140.42987069561332
53 -134.06689891383306
54 -146.16743335737178
55 -134.0065200472709
56 -165.15030462629815
57 -119.65776104936919
58 -133.01689592385065
59 -153.60946889003034
60 -127.27260978552756
61 -133.96372647004202
62 -151.26389625155642
63 -165.8064500344266
64 -131.46725555806378
65 -141.56367951428098
66 -132.69935928250342
